repeat_index,dataset_rows,workers,queue_size,workload,total_requests,success_requests,rejected_requests,error_requests,total_ms,avg_ms,p95_ms,max_ms,error_breakdown_json
1,100000,1,512,mixed,2000,513,1487,0,216.198,160.353,207.597,211.700,{}
2,100000,1,512,mixed,2000,513,1487,0,215.140,166.055,206.865,210.759,{}
3,100000,1,512,mixed,2000,513,1487,0,252.182,199.047,244.130,248.005,{}
4,100000,1,512,mixed,2000,513,1487,0,213.789,158.763,206.159,209.912,{}
5,100000,1,512,mixed,2000,513,1487,0,263.456,207.625,253.072,258.964,{}
6,100000,1,512,mixed,2000,513,1487,0,207.124,157.995,199.368,203.153,{}
7,100000,1,512,mixed,2000,513,1487,0,220.768,165.521,210.829,217.271,{}
8,100000,1,512,mixed,2000,513,1487,0,221.533,164.395,213.488,217.121,{}
9,100000,1,512,mixed,2000,513,1487,0,218.482,167.161,209.470,214.597,{}
10,100000,1,512,mixed,2000,513,1487,0,216.520,163.812,207.964,212.906,{}
1,100000,2,512,mixed,2000,514,1486,0,215.228,163.413,207.437,211.040,{}
2,100000,2,512,mixed,2000,514,1486,0,238.909,191.051,231.406,234.815,{}
3,100000,2,512,mixed,2000,514,1486,0,225.933,170.300,218.313,222.286,{}
4,100000,2,512,mixed,2000,514,1486,0,226.813,171.561,216.612,222.529,{}
5,100000,2,512,mixed,2000,514,1486,0,205.154,156.372,197.269,201.055,{}
6,100000,2,512,mixed,2000,514,1486,0,207.566,154.192,198.307,204.096,{}
7,100000,2,512,mixed,2000,514,1486,0,211.857,159.561,202.717,206.438,{}
8,100000,2,512,mixed,2000,514,1486,0,216.598,165.261,208.821,212.774,{}
9,100000,2,512,mixed,2000,514,1486,0,228.280,171.365,220.436,224.786,{}
10,100000,2,512,mixed,2000,514,1486,0,247.069,192.918,237.762,241.019,{}
1,100000,1,512,mixed,5000,513,4487,0,599.243,461.317,582.577,592.466,{}
2,100000,1,512,mixed,5000,513,4487,0,652.760,490.599,628.275,638.636,{}
3,100000,1,512,mixed,5000,513,4487,0,610.732,461.567,593.917,603.784,{}
4,100000,1,512,mixed,5000,513,4487,0,612.576,480.190,589.253,597.672,{}
5,100000,1,512,mixed,5000,513,4487,0,573.061,433.917,556.825,566.454,{}
6,100000,1,512,mixed,5000,513,4487,0,612.083,467.916,589.923,598.603,{}
7,100000,1,512,mixed,5000,513,4487,0,602.732,463.933,585.122,593.606,{}
8,100000,1,512,mixed,5000,513,4487,0,560.862,425.370,538.528,547.281,{}
9,100000,1,512,mixed,5000,513,4487,0,585.979,445.432,570.126,579.218,{}
10,100000,1,512,mixed,5000,513,4487,0,637.454,493.884,613.539,623.044,{}
1,100000,2,512,mixed,5000,514,4486,0,569.233,442.409,554.104,562.181,{}
2,100000,2,512,mixed,5000,514,4486,0,587.146,450.291,564.857,573.913,{}
3,100000,2,512,mixed,5000,514,4486,0,619.973,486.398,604.066,613.393,{}
4,100000,2,512,mixed,5000,514,4486,0,656.598,521.356,634.922,643.177,{}
5,100000,2,512,mixed,5000,514,4486,0,508.551,395.075,493.245,501.387,{}
6,100000,2,512,mixed,5000,514,4486,0,588.857,458.048,563.798,575.167,{}
7,100000,2,512,mixed,5000,514,4486,0,540.104,415.756,522.094,532.327,{}
8,100000,2,512,mixed,5000,514,4486,0,590.184,456.627,565.242,575.599,{}
9,100000,2,512,mixed,5000,514,4486,0,570.600,443.958,555.926,564.274,{}
10,100000,2,512,mixed,5000,514,4486,0,556.095,423.290,533.188,543.202,{}
1,100000,1,512,mixed,10000,513,9487,0,1247.463,944.001,1210.078,1225.934,{}
2,100000,1,512,mixed,10000,513,9487,0,1224.700,921.632,1183.804,1204.019,{}
3,100000,1,512,mixed,10000,513,9487,0,1346.924,1052.134,1304.800,1324.303,{}
4,100000,1,512,mixed,10000,513,9487,0,1335.160,1010.213,1297.223,1313.606,{}
5,100000,1,512,mixed,10000,513,9487,0,1537.378,1206.884,1493.917,1512.988,{}
6,100000,1,512,mixed,10000,513,9487,0,1297.421,976.853,1255.013,1273.438,{}
7,100000,1,512,mixed,10000,513,9487,0,1349.921,1035.097,1311.002,1327.153,{}
8,100000,1,512,mixed,10000,513,9487,0,1381.115,1066.990,1336.876,1355.875,{}
9,100000,1,512,mixed,10000,513,9487,0,1358.976,1045.159,1316.624,1334.673,{}
10,100000,1,512,mixed,10000,513,9487,0,1396.583,1045.597,1333.250,1351.350,{}
1,100000,2,512,mixed,10000,514,9486,0,1328.586,1024.218,1285.760,1304.116,{}
2,100000,2,512,mixed,10000,514,9486,0,1385.615,1071.185,1340.484,1373.368,{}
3,100000,2,512,mixed,10000,514,9486,0,1349.482,1059.214,1305.035,1337.468,{}
4,100000,2,512,mixed,10000,514,9486,0,1400.904,1087.084,1356.461,1388.572,{}
5,100000,2,512,mixed,10000,514,9486,0,1350.479,1052.307,1306.813,1338.652,{}
6,100000,2,512,mixed,10000,514,9486,0,1317.606,1007.267,1274.479,1305.688,{}
7,100000,2,512,mixed,10000,514,9486,0,1409.135,1044.855,1364.756,1397.095,{}
8,100000,2,512,mixed,10000,514,9486,0,1326.113,1023.893,1281.218,1314.581,{}
9,100000,2,512,mixed,10000,514,9486,0,1295.151,991.895,1254.476,1282.854,{}
10,100000,2,512,mixed,10000,514,9486,0,1323.919,1029.032,1281.302,1312.127,{}
1,100000,1,512,mixed,20000,513,15830,3657,14799.110,11610.209,14651.828,14746.537,"{""oserror_49"": 3657}"
2,100000,1,512,mixed,20000,513,15834,3653,14172.236,11113.945,14036.946,14128.617,"{""oserror_49"": 3653}"
3,100000,1,512,mixed,20000,513,15837,3650,13679.856,10678.418,13531.536,13623.257,"{""oserror_49"": 3650}"
4,100000,1,512,mixed,20000,513,15838,3649,13714.999,10750.724,13582.265,13694.068,"{""oserror_49"": 3649}"
5,100000,1,512,mixed,20000,513,15838,3649,15286.716,12043.242,15150.443,15266.117,"{""oserror_49"": 3649}"
6,100000,1,512,mixed,20000,513,15841,3646,15245.163,11993.954,15094.554,15224.233,"{""oserror_49"": 3646}"
7,100000,1,512,mixed,20000,513,15841,3646,14950.304,11742.082,14805.160,14908.272,"{""oserror_49"": 3646}"
8,100000,1,512,mixed,20000,513,15841,3646,12194.141,9530.775,12061.002,12150.394,"{""oserror_49"": 3646}"
9,100000,1,512,mixed,20000,513,15843,3644,10677.400,8315.922,10543.979,10656.625,"{""oserror_49"": 3644}"
10,100000,1,512,mixed,20000,513,15846,3641,12824.679,10058.778,12692.065,12803.282,"{""oserror_49"": 3641}"
1,100000,2,512,mixed,20000,514,15845,3641,15610.761,12286.413,15475.951,15589.699,"{""oserror_49"": 3641}"
2,100000,2,512,mixed,20000,514,15842,3644,15294.905,12035.954,15160.170,15252.034,"{""oserror_49"": 3644}"
3,100000,2,512,mixed,20000,514,15842,3644,15310.416,12041.238,15150.558,15268.339,"{""oserror_49"": 3644}"
4,100000,2,512,mixed,20000,514,15841,3645,15424.691,12138.797,15268.563,15403.639,"{""oserror_49"": 3645}"
5,100000,2,512,mixed,20000,514,15843,3643,15372.458,12075.874,15235.402,15350.716,"{""oserror_49"": 3643}"
6,100000,2,512,mixed,20000,514,15845,3641,15377.330,12102.820,15229.045,15321.402,"{""oserror_49"": 3641}"
7,100000,2,512,mixed,20000,514,15845,3641,15439.834,12139.125,15309.333,15398.906,"{""oserror_49"": 3641}"
8,100000,2,512,mixed,20000,514,15845,3641,15354.196,12103.239,15217.228,15333.808,"{""oserror_49"": 3641}"
9,100000,2,512,mixed,20000,514,15844,3642,15132.727,11912.197,14986.113,15111.749,"{""oserror_49"": 3642}"
10,100000,2,512,mixed,20000,514,15846,3640,14725.725,11567.968,14579.563,14704.574,"{""oserror_49"": 3640}"
1,1000000,1,512,mixed,2000,513,1487,0,218.490,165.824,210.690,214.638,{}
2,1000000,1,512,mixed,2000,513,1487,0,227.754,173.227,216.109,219.858,{}
3,1000000,1,512,mixed,2000,513,1487,0,227.194,177.124,219.197,223.453,{}
4,1000000,1,512,mixed,2000,513,1487,0,215.788,162.094,207.072,211.918,{}
5,1000000,1,512,mixed,2000,513,1487,0,241.411,179.162,228.318,232.494,{}
6,1000000,1,512,mixed,2000,513,1487,0,232.597,179.402,223.829,229.211,{}
7,1000000,1,512,mixed,2000,513,1487,0,208.562,157.519,200.785,204.357,{}
8,1000000,1,512,mixed,2000,513,1487,0,228.075,177.449,218.434,223.981,{}
9,1000000,1,512,mixed,2000,513,1487,0,223.611,171.441,215.324,219.634,{}
10,1000000,1,512,mixed,2000,513,1487,0,234.299,173.107,226.542,230.406,{}
1,1000000,2,512,mixed,2000,514,1486,0,227.001,178.202,219.291,223.115,{}
2,1000000,2,512,mixed,2000,514,1486,0,234.770,176.579,222.408,230.621,{}
3,1000000,2,512,mixed,2000,514,1486,0,225.201,169.151,217.615,221.364,{}
4,1000000,2,512,mixed,2000,514,1486,0,239.259,177.359,230.047,235.186,{}
5,1000000,2,512,mixed,2000,514,1486,0,229.342,172.491,221.655,225.347,{}
6,1000000,2,512,mixed,2000,514,1486,0,219.132,167.565,211.806,215.480,{}
7,1000000,2,512,mixed,2000,514,1486,0,232.789,183.654,224.437,228.419,{}
8,1000000,2,512,mixed,2000,514,1486,0,234.873,182.440,226.690,230.966,{}
9,1000000,2,512,mixed,2000,514,1486,0,250.588,185.966,237.614,246.552,{}
10,1000000,2,512,mixed,2000,514,1486,0,224.911,173.480,214.530,220.382,{}
1,1000000,1,512,mixed,5000,513,4487,0,632.462,488.358,615.404,625.652,{}
2,1000000,1,512,mixed,5000,513,4487,0,648.585,499.647,629.659,637.229,{}
3,1000000,1,512,mixed,5000,513,4487,0,622.284,473.491,604.009,614.212,{}
4,1000000,1,512,mixed,5000,513,4487,0,708.457,544.060,685.413,693.861,{}
5,1000000,1,512,mixed,5000,513,4487,0,738.651,484.665,695.932,710.629,{}
6,1000000,1,512,mixed,5000,513,4487,0,577.618,451.834,561.573,570.611,{}
7,1000000,1,512,mixed,5000,513,4487,0,603.467,456.775,576.169,597.161,{}
8,1000000,1,512,mixed,5000,513,4487,0,624.877,486.104,610.235,618.248,{}
9,1000000,1,512,mixed,5000,513,4487,0,592.938,453.478,568.137,586.043,{}
10,1000000,1,512,mixed,5000,513,4487,0,593.593,464.695,577.996,586.659,{}
1,1000000,2,512,mixed,5000,514,4486,0,601.023,462.991,577.369,594.456,{}
2,1000000,2,512,mixed,5000,514,4486,0,593.232,463.168,575.169,585.430,{}
3,1000000,2,512,mixed,5000,514,4486,0,639.209,480.429,612.769,631.726,{}
4,1000000,2,512,mixed,5000,514,4486,0,623.625,476.588,603.373,611.179,{}
5,1000000,2,512,mixed,5000,514,4486,0,617.904,459.414,577.483,588.703,{}
6,1000000,2,512,mixed,5000,514,4486,0,627.484,483.481,610.080,619.722,{}
7,1000000,2,512,mixed,5000,514,4486,0,655.465,498.845,619.387,630.053,{}
8,1000000,2,512,mixed,5000,514,4486,0,619.721,486.186,602.898,612.212,{}
9,1000000,2,512,mixed,5000,514,4486,0,590.623,450.051,565.103,574.757,{}
10,1000000,2,512,mixed,5000,514,4486,0,615.444,483.102,599.369,608.261,{}
1,1000000,1,512,mixed,10000,513,9487,0,1355.048,1045.186,1324.211,1341.974,{}
2,1000000,1,512,mixed,10000,513,9487,0,1374.519,1071.068,1330.543,1363.289,{}
3,1000000,1,512,mixed,10000,513,9487,0,1342.595,1035.837,1299.099,1330.141,{}
4,1000000,1,512,mixed,10000,513,9487,0,1354.444,1038.239,1307.637,1340.687,{}
5,1000000,1,512,mixed,10000,513,9487,0,1384.557,1064.772,1340.321,1372.715,{}
6,1000000,1,512,mixed,10000,513,9487,0,1339.670,1034.844,1294.436,1327.536,{}
7,1000000,1,512,mixed,10000,513,9487,0,1355.508,1026.594,1310.010,1343.301,{}
8,1000000,1,512,mixed,10000,513,9487,0,1374.462,1056.457,1329.668,1362.203,{}
9,1000000,1,512,mixed,10000,513,9487,0,1345.238,1040.586,1300.137,1333.297,{}
10,1000000,1,512,mixed,10000,513,9487,0,1365.908,1057.562,1320.609,1354.096,{}
1,1000000,2,512,mixed,10000,514,9486,0,1338.679,1035.339,1293.021,1326.831,{}
2,1000000,2,512,mixed,10000,514,9486,0,1342.316,1031.477,1293.661,1325.537,{}
3,1000000,2,512,mixed,10000,514,9486,0,1351.246,1038.348,1297.606,1339.782,{}
4,1000000,2,512,mixed,10000,514,9486,0,1338.387,1033.221,1293.337,1326.180,{}
5,1000000,2,512,mixed,10000,514,9486,0,1347.604,1042.256,1303.575,1335.531,{}
6,1000000,2,512,mixed,10000,514,9486,0,1439.421,1123.013,1388.728,1426.856,{}
7,1000000,2,512,mixed,10000,514,9486,0,1433.792,1096.263,1377.756,1421.007,{}
8,1000000,2,512,mixed,10000,514,9486,0,1404.681,1088.544,1356.530,1389.398,{}
9,1000000,2,512,mixed,10000,514,9486,0,1400.201,1081.583,1352.352,1387.129,{}
10,1000000,2,512,mixed,10000,514,9486,0,1380.504,1075.219,1335.822,1367.726,{}
1,1000000,1,512,mixed,20000,513,15839,3648,16324.910,12871.185,16181.528,16274.740,"{""oserror_49"": 3648}"
2,1000000,1,512,mixed,20000,513,15842,3645,15303.060,12054.905,15167.562,15258.934,"{""oserror_49"": 3645}"
3,1000000,1,512,mixed,20000,513,15842,3645,15241.080,12013.493,15107.266,15198.307,"{""oserror_49"": 3645}"
4,1000000,1,512,mixed,20000,513,15843,3644,15413.319,12137.041,15276.173,15391.983,"{""oserror_49"": 3644}"
5,1000000,1,512,mixed,20000,513,15843,3644,15168.051,11913.838,15030.565,15145.802,"{""oserror_49"": 3644}"
6,1000000,1,512,mixed,20000,513,15844,3643,15240.413,12001.576,15100.737,15191.408,"{""oserror_49"": 3643}"
7,1000000,1,512,mixed,20000,513,15840,3647,10817.455,8299.166,10630.771,10745.503,"{""oserror_49"": 3647}"
8,1000000,1,512,mixed,20000,513,15836,3651,11067.612,8543.452,10903.226,11037.029,"{""oserror_49"": 3651}"
9,1000000,1,512,mixed,20000,513,15839,3648,9826.734,7604.855,9692.965,9805.184,"{""oserror_49"": 3648}"
10,1000000,1,512,mixed,20000,513,15841,3646,12183.349,9510.192,12046.444,12160.905,"{""oserror_49"": 3646}"
1,1000000,2,512,mixed,20000,514,15833,3653,13414.027,10448.121,13262.797,13355.960,"{""oserror_49"": 3653}"
2,1000000,2,512,mixed,20000,514,15829,3657,12233.872,9550.156,12103.123,12189.343,"{""oserror_49"": 3657}"
3,1000000,2,512,mixed,20000,514,15838,3648,12519.805,9791.463,12375.291,12499.315,"{""oserror_49"": 3648}"
4,1000000,2,512,mixed,20000,514,15836,3650,11115.461,8641.667,10971.795,11084.183,"{""oserror_49"": 3650}"
5,1000000,2,512,mixed,20000,514,15833,3653,10715.518,8342.430,10584.620,10694.980,"{""oserror_49"": 3653}"
6,1000000,2,512,mixed,20000,514,15833,3653,11540.738,9004.225,11399.900,11502.403,"{""oserror_49"": 3653}"
7,1000000,2,512,mixed,20000,514,15835,3651,10927.637,8485.923,10790.288,10888.877,"{""oserror_49"": 3651}"
8,1000000,2,512,mixed,20000,514,15839,3647,11063.078,8593.048,10932.041,11042.107,"{""oserror_49"": 3647}"
9,1000000,2,512,mixed,20000,514,15842,3644,11425.734,8917.662,11282.041,11404.406,"{""oserror_49"": 3644}"
10,1000000,2,512,mixed,20000,514,15846,3640,14939.632,11806.719,14808.050,14919.078,"{""oserror_49"": 3640}"
